updateDate,code,code_name
2019-12-09,sh.600699,均胜电子
2019-12-09,sh.600707,彩虹股份
2019-12-09,sh.600717,天津港
2019-12-09,sh.600718,东软集团
2019-12-09,sh.600729,重庆百货
2019-12-09,sh.600737,中粮糖业
2019-12-09,sh.600739,辽宁成大
2019-12-09,sh.600745,闻泰科技
2019-12-09,sh.600748,上实发展
2019-12-09,sh.600750,江中药业
2019-12-09,sh.600751,海航科技
2019-12-09,sh.600754,锦江酒店
2019-12-09,sh.600755,厦门国贸
2019-12-09,sh.600757,长江传媒
2019-12-09,sh.600759,洲际油气
2019-12-09,sh.600763,通策医疗
2019-12-09,sh.600765,中航重机
2019-12-09,sh.600770,综艺股份
2019-12-09,sh.600777,新潮能源
2019-12-09,sh.600779,水井坊
2019-12-09,sh.600782,新钢股份
2019-12-09,sh.600787,中储股份
2019-12-09,sh.600801,华新水泥
2019-12-09,sh.600804,鹏博士
2019-12-09,sh.600808,马钢股份
2019-12-09,sh.600811,东方集团
2019-12-09,sh.600820,隧道股份
2019-12-09,sh.600823,世茂股份
2019-12-09,sh.600827,百联股份
2019-12-09,sh.600835,上海机电
2019-12-09,sh.600839,四川长虹
2019-12-09,sh.600845,宝信软件
2019-12-09,sh.600848,上海临港
2019-12-09,sh.600859,王府井
2019-12-09,sh.600862,中航高科
2019-12-09,sh.600863,内蒙华电
2019-12-09,sh.600869,智慧能源
2019-12-09,sh.600872,中炬高新
2019-12-09,sh.600874,创业环保
2019-12-09,sh.600875,东方电气
2019-12-09,sh.600879,航天电子
2019-12-09,sh.600881,亚泰集团
2019-12-09,sh.600884,杉杉股份
2019-12-09,sh.600885,宏发股份
2019-12-09,sh.600895,张江高科
2019-12-09,sh.600901,江苏租赁
2019-12-09,sh.600903,贵州燃气
2019-12-09,sh.600908,无锡银行
2019-12-09,sh.600909,华安证券
2019-12-09,sh.600917,重庆燃气
2019-12-09,sh.600939,重庆建工
2019-12-09,sh.600959,江苏有线
2019-12-09,sh.600967,内蒙一机
2019-12-09,sh.600970,中材国际
2019-12-09,sh.600971,恒源煤电
2019-12-09,sh.600978,宜华生活
2019-12-09,sh.600985,淮北矿业
2019-12-09,sh.600993,马应龙
2019-12-09,sh.600996,贵广网络
2019-12-09,sh.601000,唐山港
2019-12-09,sh.601001,大同煤业
2019-12-09,sh.601003,柳钢股份
2019-12-09,sh.601005,重庆钢铁
2019-12-09,sh.601016,节能风电
2019-12-09,sh.601019,山东出版
2019-12-09,sh.601068,中铝国际
2019-12-09,sh.601098,中南传媒
2019-12-09,sh.601100,恒立液压
2019-12-09,sh.601106,中国一重
2019-12-09,sh.601118,海南橡胶
2019-12-09,sh.601127,小康股份
2019-12-09,sh.601128,常熟银行
2019-12-09,sh.601139,深圳燃气
2019-12-09,sh.601168,西部矿业
2019-12-09,sh.601179,中国西电
2019-12-09,sh.601200,上海环境
2019-12-09,sh.601231,环旭电子
2019-12-09,sh.601311,骆驼股份
2019-12-09,sh.601326,秦港股份
2019-12-09,sh.601333,广深铁路
2019-12-09,sh.601608,中信重工
2019-12-09,sh.601611,中国核建
2019-12-09,sh.601615,明阳智能
2019-12-09,sh.601678,滨化股份
2019-12-09,sh.601689,拓普集团
2019-12-09,sh.601699,潞安环能
2019-12-09,sh.601717,郑煤机
2019-12-09,sh.601718,际华集团
2019-12-09,sh.601777,力帆股份
2019-12-09,sh.601801,皖新传媒
2019-12-09,sh.601811,新华文轩
2019-12-09,sh.601866,中远海发
2019-12-09,sh.601869,长飞光纤
2019-12-09,sh.601872,招商轮船
